algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
ahc_avg,dropout,0.05,0.7171203444644249,0.5152514824016802,132.9018890192095,0.5943624593974922,0.9975634226745019,True
spectral,dropout,0.05,0.1410235053788801,1.5280415510001177,538.2163333535896,0.25715460510049204,0.49032535473699296,False
dbscan,dropout,0.05,,,,0.9714747767145655,1.0,True
kmeans,dropout,0.1,0.09817591741668641,1.7700709771510648,711.649217580516,0.8990895599396153,0.35946681954994986,False
gmm_full,dropout,0.1,-0.02005181496734734,4.737373277888829,300.90284124195324,0.2053654088544814,0.2794897520424251,False
gmm_diag,dropout,0.1,0.05789576686562555,2.274637326820419,533.9977839958228,0.4534417769744226,0.2723233481439014,False
ahc_ward,dropout,0.1,0.15033176767113834,1.6983926933239881,576.8155872337866,0.44175122016430873,0.6336534327074674,False
ahc_avg,dropout,0.1,0.7128807618529324,0.6120376115078107,145.62546946439437,0.6746121232045237,0.9964167980507381,True
spectral,dropout,0.1,0.10585827015358354,1.6425004480945729,485.72485127620234,0.443405202634513,0.44775691557976205,False
dbscan,dropout,0.1,,,,0.9277473696160972,1.0,True
kmeans,dropout,0.2,0.07965094183051911,1.8955829703198803,600.9630187343662,0.8200532732698408,0.3684964884620897,False
gmm_full,dropout,0.2,-0.015280131304612105,4.1362039112639994,341.85202295525045,0.2938621537049097,0.3938655582628637,False
gmm_diag,dropout,0.2,0.047646216218168405,2.4781589034813325,465.7460155802822,0.39488695703728655,0.2985523864124982,False
ahc_ward,dropout,0.2,0.03723895732585169,2.0186453447194435,483.13088926455373,0.1978547789591218,0.4169413788161101,False
ahc_avg,dropout,0.2,0.7930590703064225,0.4502132448220913,91.2374596431584,0.4292854275351873,0.9984233911423248,True
spectral,dropout,0.2,0.08668972928525547,1.8450893027643736,455.950617831634,0.5631778232539776,0.4269743442740433,False
dbscan,dropout,0.2,,,,0.8296468489490106,1.0,True
kmeans,drift,0.0,0.11685004380446325,1.6516700581924422,829.6187350666683,1.0,0.35445033682098326,False
gmm_full,drift,0.0,0.07910721721388446,2.2486333549514694,439.8547984706208,1.0,0.5563995986813817,False
gmm_diag,drift,0.0,0.08560593005453343,1.8683336528425394,577.6733554753376,1.0,0.3441307152071091,False
ahc_ward,drift,0.0,0.13560290272101821,1.4807494904798755,681.9208738632564,1.0,0.4997850078830443,False
ahc_avg,drift,0.0,0.6595623837811271,0.5705149307792602,190.20502835752217,1.0,0.994266876881181,True
spectral,drift,0.0,0.10833004871673092,1.5645923077105177,565.4917350528552,1.0,0.46638956571592377,False
dbscan,drift,0.0,,,,1.0,1.0,True
kmeans,drift,0.01,0.11523741302364518,1.6535148138755917,829.7157348439401,0.9348621216247203,0.3497205102479576,False
gmm_full,drift,0.01,0.0762841575143235,2.260271142169653,443.74474780864483,0.9712675348570559,0.549519850938799,False
gmm_diag,drift,0.01,0.04823179359844008,2.3255077188485247,527.6630075965307,0.3361178258073455,0.3934355740289523,False
ahc_ward,drift,0.01,0.06529423636784286,1.8007493803587358,656.2147643494939,0.3013507418459325,0.3289379389422388,False
ahc_avg,drift,0.01,0.6973192421534143,0.5477748321898253,190.26031878429387,0.8518579436232309,0.9949835172710334,True
spectral,drift,0.01,0.10815244431621253,1.5664259161455376,562.9634373517335,0.9317216199428158,0.46767951841765804,False
dbscan,drift,0.01,,,,1.0,1.0,True
kmeans,drift,0.05,0.11502410632803184,1.6551338106502258,829.5475388407539,0.940252663823258,0.34828722946825286,False
gmm_full,drift,0.05,0.07490857559156086,2.2610275193257183,445.51634637400036,0.9653542941496571,0.5490898667048875,False
gmm_diag,drift,0.05,0.05990707060299598,2.2597619115903624,550.6803526823712,0.43897091252640363,0.28866274903253547,False
ahc_ward,drift,0.05,0.1267721476902024,1.547186661089918,671.5612370388404,0.5022107088159575,0.46036978644116383,False
ahc_avg,drift,0.05,0.6972544222818031,0.5477742670300455,190.20992458451653,0.8518579436232309,0.9949835172710334,True
spectral,drift,0.05,0.10958459060234671,1.5589615761442328,568.5718774536817,0.9227328485173547,0.46180306722086856,False
dbscan,drift,0.05,,,,1.0,1.0,True
kmeans,drift,0.1,0.1149785598511968,1.6548910055192803,829.0956486644513,0.9395509135488046,0.34814390139028234,False
gmm_full,drift,0.1,0.06274132630508591,2.280709571838698,551.939891514234,0.806225534053178,0.5528163967321198,False
gmm_diag,drift,0.1,0.06864205675455017,2.150875540543018,571.4881978011233,0.5671414446859154,0.26085710190626343,False
ahc_ward,drift,0.1,0.135014848326629,1.567015438690665,674.585279175237,0.5062470701808292,0.5144044718360327,False
ahc_avg,drift,0.1,0.6971293838418257,0.5478089219406,190.09988329460876,0.8518579436232309,0.9949835172710334,True
spectral,drift,0.1,0.10836808692042632,1.561070414816911,567.2581569450548,0.935452600581598,0.470402751899097,False
dbscan,drift,0.1,,,,1.0,1.0,True
